tag,count,frac,responses,prob_sum,accuracy,accuracy_non-strict
other,2982,0.251837,1908,1891.886745,0.639839,0.634436
lex,1542,0.130225,928,931.809888,0.601816,0.604287
ortho,1462,0.123469,1177,1148.697730,0.805062,0.785703
gov,776,0.065535,527,519.013439,0.679124,0.668832
syntax,505,0.042648,333,329.044398,0.659406,0.651573
prep,412,0.034794,265,261.341713,0.643204,0.634325
infl,405,0.034203,303,294.830232,0.748148,0.727976
asp,377,0.031839,224,221.375839,0.594164,0.587204
conj,363,0.030656,215,212.025039,0.592287,0.584091
wo,329,0.027785,193,189.916481,0.586626,0.577254
ref,322,0.027194,181,183.851312,0.562112,0.570967
agrnum,269,0.022718,194,185.271274,0.721190,0.688741
agrgender,236,0.019931,157,152.012491,0.665254,0.644121
space,233,0.019677,150,150.240229,0.643777,0.644808
num,226,0.019086,147,146.883819,0.650442,0.649928
deriv,191,0.016130,138,135.061427,0.722513,0.707128
idiom,117,0.009881,74,73.718254,0.632479,0.630071
hyphen,103,0.008699,75,74.747110,0.728155,0.725700
tense,100,0.008445,56,55.823048,0.560000,0.558230
misspell,89,0.007516,77,75.191100,0.865169,0.844844
altern,89,0.007516,67,64.230883,0.752809,0.721695
refl,85,0.007178,62,60.907782,0.729412,0.716562
brev,80,0.006756,47,47.498000,0.587500,0.593725
aux,75,0.006334,40,40.905523,0.533333,0.545407
par,74,0.006249,47,47.420155,0.635135,0.640813
gender,59,0.004983,42,40.311190,0.711864,0.683241
graph,49,0.004138,45,43.709736,0.918367,0.892035
argstr,47,0.003969,28,29.626116,0.595745,0.630343
cs,40,0.003378,30,28.416542,0.750000,0.710414
mode,35,0.002956,21,20.749538,0.600000,0.592844
neg,32,0.002702,24,22.195726,0.750000,0.693616
translit,30,0.002534,20,19.526526,0.666667,0.650884
agrpers,26,0.002196,18,17.728279,0.692308,0.681857
impers,24,0.002027,15,14.749248,0.625000,0.614552
passive,23,0.001942,15,15.394265,0.652174,0.669316
agrgerund,13,0.001098,7,6.593283,0.538462,0.507176
com,8,0.000676,6,5.888582,0.750000,0.736073
argcase,8,0.000676,7,6.547909,0.875000,0.818489
genneg,5,0.000422,5,4.557665,1.000000,0.911533